,Barcelona
0,81.0
1,32.833333333333336
2,32.833333333333336
3,112.0
4,32.833333333333336
5,92.0
6,73.33333333333333
7,65.83333333333333
8,27.5
9,19.444444444444443
10,25.0
11,77.77777777777777
12,30.625
13,40.0
14,65.0
15,88.0
16,37.0
17,112.5
18,53.0
19,110.0
20,47.22222222222222
21,47.22222222222222
22,64.28571428571429
23,42.94117647058823
24,26.666666666666668
25,11.666666666666666
26,28.0
27,78.57142857142857
28,29.375
29,92.85714285714286
30,30.0
31,77.77777777777777
32,55.55555555555556
33,60.0
34,35.714285714285715
35,54.166666666666664
36,41.666666666666664
37,30.0
